event_id,event_name,datetime,city,country,location,data_navigate
913472,Eric Clapton,2015-05-01 20:00:00,New York,USA,Madison Square Garden,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Eric-Clapton-Tickets/E-913472
913473,Eric Clapton,2015-05-02 20:00:00,New York,USA,Madison Square Garden,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Eric-Clapton-Tickets/E-913473
713321,Eric Clapton,2015-05-14 19:30:00,London,United Kingdom,Royal Albert Hall,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Eric-Clapton-Tickets/E-713321
713321,Eric Clapton,2015-05-14 19:30:00,London,Wielka Brytania,Royal Albert Hall,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Eric-Clapton-Tickets/E-713321
713322,Eric Clapton,2015-05-15 19:30:00,London,United Kingdom,Royal Albert Hall,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Eric-Clapton-Tickets/E-713322
713322,Eric Clapton,2015-05-15 19:30:00,London,Wielka Brytania,Royal Albert Hall,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Eric-Clapton-Tickets/E-713322
713323,Eric Clapton,2015-05-17 19:30:00,London,United Kingdom,Royal Albert Hall,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Eric-Clapton-Tickets/E-713323
713323,Eric Clapton,2015-05-17 19:30:00,London,Wielka Brytania,Royal Albert Hall,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Eric-Clapton-Tickets/E-713323
713324,Eric Clapton,2015-05-18 19:30:00,London,United Kingdom,Royal Albert Hall,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Eric-Clapton-Tickets/E-713324
713324,Eric Clapton,2015-05-18 19:30:00,London,Wielka Brytania,Royal Albert Hall,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Eric-Clapton-Tickets/E-713324
715537,Eric Clapton,2015-05-20 19:30:00,London,United Kingdom,Royal Albert Hall,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Eric-Clapton-Tickets/E-715537
715537,Eric Clapton,2015-05-20 19:30:00,London,Wielka Brytania,Royal Albert Hall,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Eric-Clapton-Tickets/E-715537
715538,Eric Clapton,2015-05-21 19:30:00,London,United Kingdom,Royal Albert Hall,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Eric-Clapton-Tickets/E-715538
715538,Eric Clapton,2015-05-21 19:30:00,London,Wielka Brytania,Royal Albert Hall,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Eric-Clapton-Tickets/E-715538
715539,Eric Clapton,2015-05-23 19:30:00,London,United Kingdom,Royal Albert Hall,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Eric-Clapton-Tickets/E-715539
